#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
120,Hugo,2011,Martin Scorsese,2h 6m,7.5,3.5,"Aventura, Drama, Família, Fantasia, Mistério","John Logan, Brian Selznick","Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley, Sacha Baron Cohen",11,5,False
121,Midnight in Paris,2011,Woody Allen,1h 34m,7.6,3.7,"Comédia, Fantasia, Romance",Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Marion Cotillard, Adrien Brody",4,1,False
122,Moneyball,2011,Bennett Miller,2h 13m,7.6,3.9,"Biografia, Drama, Esportes","Steven Zaillian, Aaron Sorkin, Stan Chervin","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman, Chris Pratt",6,0,False
123,The Descendants,2011,Alexander Payne,1h 55m,7.3,3.6,"Comédia, Drama","Alexander Payne, Nat Faxon, Jim Rash","George Clooney, Shailene Woodley, Amara Miller, Nick Krause, Patricia Hastie",5,1,False
124,The Help,2011,Tate Taylor,2h 26m,8.1,3.9,Drama,"Tate Taylor, Kathryn Stockett","Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard, Jessica Chastain",4,1,False
125,The Tree of Life,2011,Terrence Malick,2h 19m,6.8,3.8,"Drama, Fantasia",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken, Laramie Eppler",3,0,False
126,War Horse,2011,Steven Spielberg,2h 26m,7.2,3.4,"Aventura, Drama, Guerra","Lee Hall, Richard Curtis, Michael Morpurgo","Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch, Tom Hiddleston",6,0,False
127,The King's Speech,2010,Tom Hooper,1h 58m,8.0,3.8,"Biografia, Drama, História",David Seidler,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi, Robert Portal",7,4,True
128,127 Hours,2010,Danny Boyle,1h 34m,7.5,3.5,"Biografia, Drama","Danny Boyle, Simon Beaufoy, Aron Ralston","James Franco, Amber Tamblyn, Kate Mara, Sean Bott, Koleman Stinger",6,0,False
129,Black Swan,2010,Darren Aronofsky,1h 48m,8.0,4.2,"Drama, Suspense","Mark Heyman, Andres Heinz, John J. McLaughlin","Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder, Barbara Hershey",5,1,False
130,Inception,2010,Christopher Nolan,2h 28m,8.8,4.2,"Aventura, Ação, Ficção científica, Suspense",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Michael Caine, Tom Hardy",8,4,False
131,The Fighter,2010,David O. Russell,1h 56m,7.8,3.8,"Ação, Biografia, Drama, Esportes","Scott Silver, Paul Tamasy, Eric Johnson","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe",7,2,False
132,The Kids Are All Right,2010,Lisa Cholodenko,1h 46m,7.0,3.3,"Comédia, Drama, Romance","Lisa Cholodenko, Stuart Blumberg","Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson",4,0,False
133,The Social Network,2010,David Fincher,2h,7.8,3.9,"Biografia, Drama","Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara, Bryan Barter",8,3,False
134,Toy Story 3,2010,Lee Unkrich,1h 43m,8.3,4.0,"Animação, Aventura, Comédia, Família, Fantasia","John Lasseter, Andrew Stanton, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles",5,2,False
135,True Grit,2010,"Ethan Coen, Joel Coen",1h 50m,7.6,3.8,"Drama, Faroeste","Joel Coen, Ethan Coen, Charles Portis","Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin, Barry Pepper",10,0,False
136,Winter's Bone,2010,Debra Granik,1h 40m,7.1,3.5,"Drama, Mistério, Policial, Suspense","Debra Granik, Anne Rosellini, Daniel Woodrell","Jennifer Lawrence, John Hawkes, Garret Dillahunt, Isaiah Stone, Ashlee Thompson",4,0,False
137,The Hurt Locker,2008,Kathryn Bigelow,2h 11m,7.5,3.8,"Drama, Guerra, Suspense",Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, Ralph Fiennes",9,6,True
138,A Serious Man,2009,"Ethan Coen, Joel Coen",1h 46m,7.0,3.9,"Comédia, Drama","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick, Fred Melamed, Aaron Wolff",2,0,False
139,An Education,2009,Lone Scherfig,1h 40m,7.2,3.6,Drama,"Lynn Barber, Nick Hornby","Carey Mulligan, Peter Sarsgaard, Alfred Molina, Cara Seymour, Rosamund Pike",3,0,False
140,Avatar,2009,James Cameron,2h 42m,7.9,3.7,"Aventura, Ação, Fantasia, Ficção científica",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez, Stephen Lang",9,3,False
141,District 9,2009,Neill Blomkamp,1h 52m,7.9,3.8,"Ação, Ficção científica, Suspense","Neill Blomkamp, Terri Tatchell","Sharlto Copley, David James, Jason Cope, Nathalie Boltt, Sylvaine Strike",4,0,False
142,Inglourious Basterds,2009,Quentin Tarantino,2h 33m,8.4,4.4,"Aventura, Drama, Guerra",Quentin Tarantino,"Brad Pitt, Diane Kruger, Mélanie Laurent, Christoph Waltz, Michael Fassbender",8,1,False
143,Precious,2009,Lee Daniels,1h 50m,7.3,3.7,Drama,"Geoffrey Fletcher, Sapphire","Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey, Sherri Shepherd",6,2,False
144,The Blind Side,2009,John Lee Hancock,2h 9m,7.6,3.3,"Biografia, Drama, Esportes","John Lee Hancock, Michael Lewis","Quinton Aaron, Sandra Bullock, Tim McGraw, Lily Collins, Kathy Bates",2,1,False
145,Up,2009,"Pete Docter, Bob Peterson",1h 36m,8.3,4.1,"Animação, Aventura, Comédia, Drama, Família","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson",5,2,False
146,Up in the Air,2009,Jason Reitman,1h 49m,7.4,3.6,"Comédia, Drama, Romance","Walter Kirn, Jason Reitman, Sheldon Turner","George Clooney, Vera Farmiga, Anna Kendrick, J.K. Simmons, Sam Elliott",6,0,False
147,Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",2h,8.0,3.9,"Drama, Policial, Romance","Simon Beaufoy, Vikas Swarup","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor, Raj Zutshi",10,8,True
148,Frost/Nixon,2008,Ron Howard,2h 2m,7.6,3.7,"Biografia, Drama, História",Peter Morgan,"Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell, Matthew Macfadyen",5,0,False
149,Milk,2008,Gus Van Sant,2h 8m,7.5,3.8,"Biografia, Drama, História",Dustin Lance Black,"Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna, James Franco",8,2,False
150,The Curious Case of Benjamin Button,2008,David Fincher,2h 46m,7.8,3.7,"Drama, Fantasia, Romance","Eric Roth, Robin Swicord, F. Scott Fitzgerald","Brad Pitt, Cate Blanchett, Tilda Swinton, Taraji P. Henson, Mahershala Ali",13,3,False
151,The Reader,2008,Stephen Daldry,2h 4m,7.6,3.6,"Drama, Mistério, Romance","David Hare, Bernhard Schlink","Kate Winslet, Ralph Fiennes, Bruno Ganz, Jeanette Hain, David Kross",5,1,False
152,No Country for Old Men,2007,"Ethan Coen, Joel Coen",2h 2m,8.2,4.3,"Drama, Policial, Suspense","Joel Coen, Ethan Coen, Cormac McCarthy","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald",8,4,True
153,Atonement,2007,Joe Wright,2h 3m,7.8,4.0,"Drama, Guerra, Mistério, Romance","Ian McEwan, Christopher Hampton","Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan, Benedict Cumberbatch",7,1,False
154,Juno,2007,Jason Reitman,1h 36m,7.4,3.8,"Comédia, Drama",Diablo Cody,"Elliot Page, Michael Cera, Jennifer Garner, Allison Janney, J.K. Simmons",4,1,False
155,Michael Clayton,2007,Tony Gilroy,1h 59m,7.2,3.8,"Drama, Mistério, Policial, Suspense",Tony Gilroy,"George Clooney, Tilda Swinton, Tom Wilkinson, Michael O'Keefe, Sydney Pollack",7,1,False
156,There Will Be Blood,2007,Paul Thomas Anderson,2h 38m,8.2,4.5,Drama,"Paul Thomas Anderson, Upton Sinclair","Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer, Matthew Braden Stringer",8,2,False
157,The Departed,2006,Martin Scorsese,2h 31m,8.5,4.3,"Drama, Policial, Suspense","William Monahan, Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Alec Baldwin",5,4,True
158,Babel,2006,Alejandro G. Iñárritu,2h 23m,7.5,3.7,Drama,"Guillermo Arriaga, Alejandro G. Iñárritu","Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam, Peter Wight",7,1,False
159,Letters from Iwo Jima,2006,Clint Eastwood,2h 21m,7.8,3.9,"Aventura, Ação, Drama, Guerra, História","Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase, Shidô Nakamura",4,1,False
160,Little Miss Sunshine,2006,"Jonathan Dayton, Valerie Faris",1h 41m,7.8,4.2,"Comédia, Drama",Michael Arndt,"Steve Carell, Toni Collette, Abigail Breslin, Paul Dano, Alan Arkin",4,2,False
161,The Queen,2006,Stephen Frears,1h 43m,7.3,3.5,"Biografia, Drama",Peter Morgan,"Helen Mirren, Michael Sheen, James Cromwell, Alex Jennings, Roger Allam",6,1,False
162,Crash,2004,Paul Haggis,1h 52m,7.7,3.0,"Drama, Policial, Suspense","Paul Haggis, Bobby Moresco","Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave, Dato Bakhtadze",6,3,True
163,Brokeback Mountain,2005,Ang Lee,2h 14m,7.7,4.1,"Drama, Romance","Annie Proulx, Larry McMurtry, Diana Ossana","Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid, Valerie Planche",8,3,False
164,Capote,2005,Bennett Miller,1h 54m,7.3,3.7,"Biografia, Drama, História, Policial","Dan Futterman, Gerald Clarke","Philip Seymour Hoffman, Clifton Collins Jr., Catherine Keener, Allie Mickelson, Kelci Stephenson",5,1,False
165,"Good Night, and Good Luck.",2005,George Clooney,1h 33m,7.4,3.7,"Biografia, Drama, História","George Clooney, Grant Heslov","David Strathairn, George Clooney, Patricia Clarkson, Jeff Daniels, Alex Borstein",6,0,False
166,Munich,2005,Steven Spielberg,2h 44m,7.5,3.8,"Drama, História, Suspense","Tony Kushner, Eric Roth, George Jonas","Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds, Geoffrey Rush",5,0,False
167,Million Dollar Baby,2004,Clint Eastwood,2h 12m,8.1,4.0,"Drama, Esportes","Paul Haggis, F.X. Toole","Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel, Anthony Mackie",7,4,True
168,The Aviator,2004,Martin Scorsese,2h 50m,7.5,3.7,"Biografia, Drama",John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, Alec Baldwin, Alan Alda",11,5,False
169,Finding Neverland,2004,Marc Forster,1h 46m,7.6,3.5,"Biografia, Drama, Família","Allan Knee, David Magee","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell, Dustin Hoffman",7,1,False
170,Ray,2004,Taylor Hackford,2h 32m,7.7,3.8,"Biografia, Drama, Musical","Taylor Hackford, James L. White","Jamie Foxx, Regina King, Kerry Washington, Clifton Powell, Aunjanue Ellis-Taylor",6,2,False
171,Sideways,2004,Alexander Payne,2h 7m,7.5,3.8,"Comédia, Drama, Romance","Rex Pickett, Alexander Payne, Jim Taylor","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh, Marylouise Burke",5,1,False
172,The Lord of the Rings: The Return of the King,2003,Peter Jackson,3h 21m,9.0,4.5,"Aventura, Drama, Fantasia","Fran Walsh, Philippa Boyens, Peter Jackson","Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Cate Blanchett",11,11,True
173,Lost in Translation,2003,Sofia Coppola,1h 42m,7.7,3.8,"Comédia, Drama",Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Fumihiro Hayashi",4,1,False
174,Master and Commander: The Far Side of the World,2003,Peter Weir,2h 18m,7.5,4.0,"Aventura, Ação, Drama, Guerra","Patrick O'Brian, Peter Weir, John Collee","Russell Crowe, Paul Bettany, Billy Boyd, James D'Arcy, Edward Woodall",10,2,False
175,Mystic River,2003,Clint Eastwood,2h 18m,7.9,3.9,"Drama, Mistério, Policial, Suspense",Brian Helgeland,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Laura Linney",6,2,False
176,Seabiscuit,2003,Gary Ross,2h 20m,7.3,3.3,"Drama, História, Esportes","Laura Hillenbrand, Gary Ross","Tobey Maguire, Jeff Bridges, Elizabeth Banks, Chris Cooper, David McCullough",7,0,False
177,Chicago,2002,Rob Marshall,1h 53m,7.2,4.0,"Comédia, Musical, Policial","Bill Condon, Bob Fosse, Fred Ebb","Renée Zellweger, Catherine Zeta-Jones, Richard Gere, John C. Reilly, Queen Latifah",13,6,True
178,Gangs of New York,2002,Martin Scorsese,2h 47m,7.5,3.7,"Crime, Drama","Jay Cocks, Steven Zaillian, Kenneth Lonergan","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, John C. Reilly, Liam Neeson",10,0,False
179,The Hours,2002,Stephen Daldry,1h 50m,7.5,3.9,"Drama, Romance",David Hare,"Nicole Kidman, Meryl Streep, Julianne Moore, Ed Harris, John C. Reilly",9,1,False
180,The Lord of the Rings: The Two Towers,2002,Peter Jackson,2h 59m,8.8,4.4,"Aventura, Drama, Fantasia","Fran Walsh, Philippa Boyens, Peter Jackson","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Cate Blanchett",6,2,False
181,The Pianist,2002,Roman Polanski,2h 30m,8.5,4.4,"Biografia, Drama, Guerra, Musical","Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski",7,3,False
182,A Beautiful Mind,2001,Ron Howard,2h 15m,8.2,3.9,"Biografia, Drama, Mistério",Akiva Goldsman,"Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Christopher Plummer",8,4,True
183,Gosford Park,2001,Robert Altman,2h 17m,7.2,3.7,"Comédia, Drama, Mistério","Julian Fellowes, Robert Altman, Bob Balaban","Maggie Smith, Michael Gambon, Kristin Scott Thomas, Helen Mirren, Clive Owen",7,1,False
184,In the Bedroom,2001,Todd Field,2h 11m,7.4,3.9,"Drama, Policial","Andre Dubus, Robert Festinger, Todd Field","Tom Wilkinson, Sissy Spacek, Marisa Tomei, Nick Stahl, William Mapother",5,0,False
185,Moulin Rouge!,2001,Baz Luhrmann,2h 7m,7.6,3.8,"Drama, Musical, Romance","Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, Richard Roxburgh",8,2,False
186,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,2h 58m,8.9,4.4,"Aventura, Drama, Fantasia","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Orlando Bloom, Viggo Mortensen, Cate Blanchett",13,4,False
187,Gladiator,2000,Ridley Scott,2h 35m,8.5,4.2,"Aventura, Ação, Drama","David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou",12,5,True
188,Chocolat,2000,Lasse Hallström,2h 1m,7.2,3.4,"Drama, Romance",Robert Nelson Jacobs,"Juliette Binoche, Johnny Depp, Judi Dench, Alfred Molina, Lena Olin",5,0,False
189,"Crouching Tiger, Hidden Dragon",2000,Ang Lee,2h,7.9,4.1,"Aventura, Ação, Drama, Fantasia, Romance","James Schamus, Hui-Ling Wang, Kuo Jung Tsai","Chow Yun-fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Sihung Lung",10,4,False
190,Erin Brockovich,2000,Steven Soderbergh,2h 11m,7.5,3.9,"Biografia, Drama",Susannah Grant,"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Peter Coyote",5,1,False
191,Traffic,2000,Steven Soderbergh,2h 27m,7.5,3.7,"Drama, Policial, Suspense",Stephen Gaghan,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Dennis Quaid, Don Cheadle",5,4,False
192,American Beauty,1999,Sam Mendes,2h 2m,8.3,4.0,Drama,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Allison Janney, Chris Cooper",8,5,True
193,The Cider House Rules,1999,Lasse Hallström,2h 6m,7.4,3.4,"Drama, Romance",John Irving,"Tobey Maguire, Charlize Theron, Michael Caine, Paul Rudd, J.K. Simmons",7,2,False
194,The Green Mile,1999,Frank Darabont,3h 9m,8.6,4.3,"Drama, Fantasia, Mistério, Policial",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, Sam Rockwell",4,0,False
195,The Insider,1999,Michael Mann,2h 37m,7.8,4.1,"Biografia, Drama, Suspense","Marie Brenner, Eric Roth, Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora, Philip Baker Hall",7,0,False
196,The Sixth Sense,1999,M. Night Shyamalan,1h 47m,8.2,4.1,"Drama, Mistério, Suspense",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Donnie Wahlberg",6,0,False
197,Shakespeare in Love,1998,John Madden,2h 3m,7.1,3.3,"Comédia, Drama, História","Marc Norman, Tom Stoppard","Gwyneth Paltrow, Joseph Fiennes, Judi Dench, Colin Firth, Ben Affleck",13,7,True
198,Elizabeth,1998,Shekhar Kapur,2h 4m,7.4,3.6,"Biografia, Drama, História",Michael Hirst,"Cate Blanchett, Liz Giles, Rod Culbertson, Paul Fox, Terence Rigby",7,1,False
199,Life Is Beautiful,1997,Roberto Benigni,1h 56m,8.6,4.4,"Comédia, Drama, Guerra, Romance","Roberto Benigni, Vincenzo Cerami","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Marisa Paredes",7,3,False
200,Saving Private Ryan,1998,Steven Spielberg,2h 49m,8.6,4.2,"Drama, Guerra",Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore, Vin Diesel, Paul Giamatti",11,5,False
201,The Thin Red Line,1998,Terrence Malick,2h 50m,7.6,4.1,"Drama, Guerra, História","James Jones, Terrence Malick","Sean Penn, Nick Nolte, Adrien Brody, George Clooney, Woody Harrelson",7,0,False
202,Titanic,1997,James Cameron,3h 14m,7.9,3.8,"Drama, Romance",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Gloria Stuart",14,11,True
203,As Good as It Gets,1997,James L. Brooks,2h 19m,7.7,3.6,"Comédia, Drama, Romance","Mark Andrus, James L. Brooks","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich",7,2,False
204,Good Will Hunting,1997,Gus Van Sant,2h 6m,8.3,4.4,"Drama, Romance","Matt Damon, Ben Affleck","Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver",9,2,False
205,L.A. Confidential,1997,Curtis Hanson,2h 18m,8.2,4.1,"Drama, Mistério, Policial, Suspense","Brian Helgeland, Curtis Hanson","Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, Danny DeVito",9,2,False
206,The Full Monty,1997,Peter Cattaneo,1h 31m,7.2,3.7,"Comédia, Drama",Simon Beaufoy,"Robert Carlyle, Tom Wilkinson, Mark Addy, Steve Huison, William Snape",4,1,False
207,The English Patient,1996,Anthony Minghella,2h 42m,7.4,3.6,"Drama, Romance, Guerra","Michael Ondaatje, Anthony Minghella","Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas, Colin Firth",12,9,True
208,Fargo,1996,"Joel Coen, Ethan Coen",1h 38m,8.1,4.2,"Crime, Suspense","Ethan Coen, Joel Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Kristin Rudrüd",7,2,False
209,Jerry Maguire,1996,Cameron Crowe,2h 19m,7.3,3.6,"Comédia, Drama, Esportes, Romance",Cameron Crowe,"Tom Cruise, Renée Zellweger, Cuba Gooding Jr., Bonnie Hunt, Jerry O'Connell",5,1,False
210,Secrets & Lies,1996,Mike Leigh,2h 16m,8.0,4.3,"Comédia, Drama",Mike Leigh,"Brenda Blethyn, Marianne Jean-Baptiste, Timothy Spall, Claire Rushbrook, Philip Glenister",5,0,False
211,Shine,1996,Scott Hicks,1h 45m,7.6,3.7,"Biografia, Drama, Musical, Romance",Jan Sardi,"Geoffrey Rush, Alex Rafalowicz, Lynn Redgrave, Armin Mueller-Stahl, John Gaden",7,1,False
212,Braveheart,1995,Mel Gibson,2h 58m,8.3,3.9,"Biografia, Drama, Guerra",Randall Wallace,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, James Robinson",10,5,True
213,Apollo 13,1995,Ron Howard,2h 20m,7.7,3.8,"Aventura, Drama, História","William Broyler Jr., Al Reinert","Tom Hanks, Bill Paxton, Kevin Bacon, Ed Harris, Kathleen Quinlan",9,2,False
214,Babe,1995,Chris Noonan,1h 31m,6.9,3.4,"Comédia, Drama, Família","George Miller, Chris Noonan","James Cromwell, Magda Szubanski, Christine Cavanaugh, Miriam Margolyes, Hugo Weaving",7,1,False
215,Sense and Sensibility,1995,Ang Lee,2h 16m,7.7,3.8,"Drama, Romance","Jane Austen, Emma Thompson","Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson, Hugh Grant",7,1,False
216,The Postman,1994,Michael Radford,1h 48m,7.8,4.0,"Comédia, Drama, Romance","Massimo Troisi, Michael Radford","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",5,1,False
217,Forrest Gump,1994,Robert Zemeckis,2h 22m,8.8,4.2,"Drama, Romance","Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams",13,6,True
218,Four Weddings and a Funeral,1994,Mike Newell,1h 57m,7.1,3.4,"Comédia, Drama, Romance",Richard Curtis,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas, Simon Callow, John Hannah",2,0,False
219,Pulp Fiction,1994,Quentin Tarantino,2h 34m,8.8,4.3,"Drama, Policial","Quentin Tarantino, Roger Avary","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Harvey Keitel",7,1,False
220,Quiz Show,1994,Robert Redford,2h 13m,7.5,3.8,"Biografia, Drama, História","Paul Attanasio, Richard N. Goodwin","Ralph Fiennes, John Turturro, Rob Morrow, Paul Scofield, Christopher McDonald",4,0,False
221,The Shawshank Redemption,1994,Frank Darabont,2h 22m,9.3,4.6,Drama,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",7,0,False
222,Schindler's List,1993,Steven Spielberg,3h 15m,9.0,4.5,"Biografia, Drama, História","Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall",12,7,True
223,In the Name of the Father,1993,Jim Sheridan,2h 13m,8.1,4.2,"Biografia, Drama, Policial",Terry George,"Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson, Corin Redgrave, Beatie Edney",7,0,False
224,The Fugitive,1993,Andrew Davis,2h 10m,7.8,3.9,"Ação, Drama, Mistério, Policial, Suspense","Jeb Stuart, David Twohy, Roy Huggins","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Beatie Edney",7,1,False
225,The Piano,1993,Jane Campion,2h 1m,7.5,3.9,"Drama, Musical, Romance",Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin, Kerry Walker",8,3,False
226,The Remains of the Day,1993,James Ivory,2h 14m,7.8,4.0,"Drama, Romance",Ruth Prawer Jhabvala,"Anthony Hopkins, Emma Thompson, James Fox, Christopher Reeve, Hugh Grant",8,0,False
227,Unforgiven,1992,Clint Eastwood,2h 10m,8.2,4.2,"Drama, Faroeste",David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett",9,4,True
228,A Few Good Men,1992,Rob Reiner,2h 18m,7.7,4.0,"Drama, Suspense",Aaron Sorkin,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kiefer Sutherland",4,0,False
229,Howards End,1992,James Ivory,2h 22m,7.4,3.7,"Drama, Romance","E.M. Forster, Ruth Prawer Jhabvala","Anthony Hopkins, Emma Thompson, Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett",9,3,False
230,Scent of a Woman,1992,Martin Brest,2h 36m,8.0,3.9,Drama,Bo Goldman,"Al Pacino, Chris O'Donnell, Philip Seymour Hoffman, Gabrielle Anwar, James Rebhorn",4,1,False
231,The Crying Game,1992,Neil Jordan,1h 52m,7.2,3.6,"Drama, Policial, Romance, Suspense",Neil Jordan,"Stephen Rea, Forest Whitaker, Miranda Richardson, Jaye Davidson, Adrian Dunbar",6,1,False
232,The Silence of the Lambs,1991,Jonathan Demme,1h 58m,8.6,4.3,"Drama, Policial, Suspense, Terror",Ted Tally,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",7,5,True
233,Beauty and the Beast,1991,"Gary Trousdale, Kirk Wise",1h 24m,8.0,3.9,"Animação, Família, Fantasia, Musical, Romance",Linda Woolverton,"Paige O’Hara, Robby Benson, Richard White, Jerry Orbach, Angela Lansbury",6,2,False
234,Bugsy,1991,Barry Levinson,2h 16m,6.8,3.3,"Biografia, Drama, Policial","James Toback, Dean Jennings","Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley, Elliott Gould",10,2,False
235,JFK,1991,Oliver Stone,3h 9m,8.0,4.1,"Drama, História, Suspense","Jim Garrison, Jim Marrs, Oliver Stone","Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau, Sally Kirkland",8,2,False
236,The Prince of Tides,1991,Barbra Streisand,2h 12m,6.8,3.4,"Drama, Romance","Pat Conroy, Becky Johnston","Barbra Streisand, Nick Nolte, Blythe Danner, Kate Nelligan, Jeroen Krabbé",7,0,False
237,Dances with Wolves,1990,Kevin Costner,3h 1m,8.0,3.9,"Aventura, Drama, Faroeste",Michael Blake,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, Tantoo Cardinal",12,7,True
238,Awakenings,1990,Penny Marshall,2h 1m,7.8,3.9,"Biografia, Drama",Steven Zaillian,"Robin Williams, Robert De Niro, Julie Kavner, Ruth Nelson, John Heard",3,0,False
239,Ghost,1990,Jerry Zucker,2h 6m,7.1,3.6,"Drama, Fantasia, Romance, Suspense",Bruce Joel Rubin,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Rick Aviles",5,2,False
240,GoodFellas,1990,Martin Scorsese,2h 25m,8.7,4.5,"Biografia, Drama, Policial","Nicholas Pileggi, Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",6,1,False
